# ID train/target Class
DES_SN884506 target 0
DES_SN434363 target 0
DES_SN230099 target 0
DES_SN617788 target 43
DES_SN803479 target 0
DES_SN239290 target 36
DES_SN400018 target 0
DES_SN459646 target 0
DES_SN477085 target 24
DES_SN014328 target 8
DES_SN212898 target 30
DES_SN641922 target 0
DES_SN494793 target 24
DES_SN624870 target 0
DES_SN424296 target 36
DES_SN126275 target 42
DES_SN850449 target 24
DES_SN101179 target 0
DES_SN885645 target 0
DES_SN449454 target 0
DES_SN515330 target 36
DES_SN086410 target 8
DES_SN238310 target 34
DES_SN882294 target 8
DES_SN584263 target 0
DES_SN077051 target 30
DES_SN269236 target 6
DES_SN673933 target 0
DES_SN574758 target 2
DES_SN734550 target 0
DES_SN466437 target 0
DES_SN403240 target 0
DES_SN653577 target 42
DES_SN634764 target 0
DES_SN166237 target 7
DES_SN035933 target 30
DES_SN267766 target 16
DES_SN347267 target 42
DES_SN597242 target 2
DES_SN451967 target 27
DES_SN734630 target 0
DES_SN640769 target 30
DES_SN761455 target 0
DES_SN256442 target 7
DES_SN780752 target 30
DES_SN754650 target 0
DES_SN152872 target 23
DES_SN795800 target 24
DES_SN255467 target 0
DES_SN102511 target 33
DES_SN779276 target 30
DES_SN220142 target 0
DES_SN221806 target 0
DES_SN380369 target 0
DES_SN346547 target 0
DES_SN730953 target 30
DES_SN639127 target 2
DES_SN061556 target 0
DES_SN817154 target 39
DES_SN264105 target 24
DES_SN430025 target 22
DES_SN144206 target 27
DES_SN612522 target 26
DES_SN327824 target 0
DES_SN869740 target 1
DES_SN481312 target 2
DES_SN034010 target 45
DES_SN593050 target 0
DES_SN339133 target 0
DES_SN324371 target 0
DES_SN566281 target 30
DES_SN532981 target 0
DES_SN593868 target 0
DES_SN479314 target 36
DES_SN052483 target 15
DES_SN494021 target 2
DES_SN252814 target 27
DES_SN191664 target 0
DES_SN807215 target 0
DES_SN578267 target 8
DES_SN502185 target 0
DES_SN071179 target 0
DES_SN621810 target 0
DES_SN692320 target 0
DES_SN011742 target 0
DES_SN770737 target 0
DES_SN104458 target 2
DES_SN148067 target 30
DES_SN209335 target 30
DES_SN525878 target 2
DES_SN393422 target 26
DES_SN025710 target 0
DES_SN805888 target 2
DES_SN274532 target 29
DES_SN796177 target 11
DES_SN360420 target 30
DES_SN807339 target 42
DES_SN438186 target 0
DES_SN583482 target 0
DES_SN698549 target 22
DES_SN336064 target 24
DES_SN047879 target 0
DES_SN397763 target 0
DES_SN205905 target 0
DES_SN295582 target 40
DES_SN158520 target 27
DES_SN258472 target 4
DES_SN555886 target 26
DES_SN125917 target 27
DES_SN688503 target 27
DES_SN339861 target 30
DES_SN493417 target 29
DES_SN596451 target 0
DES_SN202863 target 0
DES_SN858072 target 30
DES_SN203519 target 15
DES_SN622409 target 36
DES_SN159171 target 0
DES_SN392315 target 2
DES_SN522878 target 0
DES_SN061309 target 0
DES_SN867564 target 0
DES_SN151306 target 1
DES_SN497967 target 42
DES_SN280326 target 16
DES_SN531357 target 0
DES_SN730255 target 29
DES_SN803590 target 2
DES_SN383479 target 0
DES_SN408902 target 34
DES_SN245820 target 7
DES_SN420514 target 4
DES_SN833034 target 0
DES_SN203123 target 0
DES_SN863221 target 7
DES_SN862380 target 36
DES_SN001747 target 16
DES_SN090939 target 30
DES_SN606246 target 2
DES_SN049609 target 21
DES_SN212495 target 21
DES_SN376704 target 0
DES_SN412536 target 0
DES_SN704190 target 21
DES_SN384523 target 34
DES_SN112925 target 0
DES_SN414600 target 0
DES_SN531207 target 0
DES_SN438122 target 0
DES_SN743169 target 14
DES_SN540530 target 24
DES_SN349438 target 16
DES_SN221278 target 0
DES_SN777247 target 21
DES_SN513115 target 4
