nqueries,snid,acc,eff,pur,fom,day_of_survey
0,---,0.7821612349914236,0.0336021505376,0.367647058824,0.0054548945678,20
1,DES_SN333531,0.7838765008576329,0.0188172043011,0.35,0.00286348761103,21
2,DES_SN150847,0.7855917667238422,0.00268817204301,0.2,0.000206782464847,22
3,DES_SN053010,0.7790165809033733,0.0228494623656,0.269841269841,0.0025060700659,23
4,DES_SN432077,0.7678673527730131,0.0672043010753,0.297619047619,0.00831736399446,24
5,DES_SN851132,0.777176852352623,0.0439146800502,0.360824742268,0.00695481358261,25
6,DES_SN250938,0.7806922660897783,0.0250941028858,0.37037037037,0.00411378735833,26
7,DES_SN270306,0.7817739318550568,0.0225846925972,0.391304347826,0.00398553398775,27
8,DES_SN424195,0.7833964305029746,0.0200752823087,0.444444444444,0.00422637522288,28
9,DES_SN598131,0.781095890410959,0.022641509434,0.45,0.00485175202156,29
10,DES_SN675763,0.7804478427089022,0.0339195979899,0.435483870968,0.00693809958885,30
11,DES_SN222338,0.7905416736542009,0.0336617405583,0.362831858407,0.0053701609451,31
12,DES_SN468453,0.7915478785846051,0.0328407224959,0.380952380952,0.00558991021207,32
13,DES_SN049586,0.7920990960830264,0.036704730832,0.424528301887,0.00724435476947,33
14,DES_SN154123,0.7929360562437228,0.0326264274062,0.43956043956,0.00676195386657,34
15,DES_SN653114,0.7936056243722799,0.0285481239804,0.454545454545,0.00620611390879,35
16,DES_SN660083,0.7937730164044191,0.0285481239804,0.460526315789,0.00632395151465,36
17,DES_SN620035,0.7951121526615333,0.0244698205546,0.51724137931,0.00643942646175,37
18,DES_SN569648,0.7794075761891199,0.0233311730395,0.461538461538,0.0051847051199,38
19,DES_SN299558,0.7780294450736127,0.0217948717949,0.447368421053,0.00463141025641,39
20,DES_SN092945,0.779032924645268,0.0118232731798,0.542857142857,0.00335286851369,40
21,DES_SN086632,0.7782968499733048,0.00362756952842,0.315789473684,0.000483675937122,41
22,DES_SN123753,0.7785638013881474,0.00423216444982,0.368421052632,0.000688957003459,42
23,DES_SN788819,0.7785638013881474,0.00483675937122,0.380952380952,0.000823278190846,43
24,DES_SN442469,0.7786972770955686,0.00483675937122,0.4,0.000879410794768,44
25,DES_SN510284,0.7785638013881474,0.00725513905683,0.413793103448,0.00138193124892,45
26,DES_SN278946,0.7781615302869288,0.0126126126126,0.446808510638,0.0026754026754,46
27,DES_SN873211,0.7677781761682801,0.0134020618557,0.472727272727,0.00308366024998,47
28,DES_SN370853,0.7686324587880196,0.0105846774194,0.411764705882,0.0020025065388,48
29,DES_SN732700,0.7673232908458865,0.00901352028042,0.382978723404,0.00154517490521,49
30,DES_SN315516,0.7637514384349827,0.0273359840954,0.364238410596,0.00438332106486,50
31,DES_SN530952,0.7547756041426927,0.0626242544732,0.339622641509,0.00916452504485,51
32,DES_SN804545,0.752,0.0839658444023,0.370292887029,0.0137610689437,52
33,DES_SN250938,0.7516312355293623,0.0836707152497,0.365422396857,0.0134742450532,53
34,DES_SN146429,0.7562618396127131,0.0521817363923,0.356923076923,0.008146812142,54
35,DES_SN653934,0.7514207535255736,0.0760233918129,0.35429769392,0.0117547604907,55
36,DES_SN106022,0.7520521995369396,0.0778227620333,0.361169102296,0.0123403646487,56
37,DES_SN817154,0.7534203325615659,0.0611785874944,0.34693877551,0.00920385829561,57
38,DES_SN223028,0.7471058724479057,0.0940170940171,0.349498327759,0.0142802126814,58
39,DES_SN690708,0.7400558605412694,0.121472392638,0.350235849057,0.0185011798018,59
40,DES_SN457390,0.7312661498708011,0.149752945648,0.33589087809,0.0216047823454,60
41,DES_SN440056,0.7339095409918603,0.161659513591,0.353401094605,0.0249130924456,61
42,DES_SN424019,0.731455476623162,0.149667017175,0.341054313099,0.0220219904665,62
43,DES_SN203519,0.7301338179415165,0.144759901858,0.333064516129,0.0206585485374,63
44,DES_SN870740,0.7339335866512473,0.143007360673,0.344594594595,0.0213256590477,64
45,DES_SN155230,0.7418635387411201,0.119523308798,0.357442348008,0.0186960772019,65
46,DES_SN411246,0.7393692138710184,0.128762541806,0.349364791289,0.0195479410865,66
47,DES_SN007355,0.7353536927391711,0.141047015672,0.340032154341,0.0206732112367,67
48,DES_SN678400,0.7335585762552055,0.148160647992,0.336140888208,0.0213955672594,68
49,DES_SN023771,0.730425483156367,0.159487010852,0.332647462277,0.0227236193487,69
50,DES_SN800234,0.7291268810633259,0.156527458073,0.326698695951,0.0217920649438,70
51,DES_SN318574,0.6975784890382706,0.190397895429,0.278901734104,0.021743664981,71
52,DES_SN698174,0.7054464899549309,0.188096021046,0.291985706993,0.02273207776,72
53,DES_SN551090,0.7048353830876174,0.174613613943,0.281697612732,0.0201872042246,73
54,DES_SN214298,0.7113748320644873,0.174798061389,0.291801510248,0.0211084266097,74
55,DES_SN529789,0.7125400058190282,0.183010618364,0.304890738814,0.0233444106141,75
56,DES_SN210840,0.7116346502355926,0.1766718507,0.299104791996,0.0220016687563,76
57,DES_SN349982,0.7137189844200807,0.188369935045,0.311668372569,0.0247022589238,77
58,DES_SN884375,0.7273176238182588,0.166565533981,0.329334133173,0.0234292795684,78
59,DES_SN347483,0.7211216517857143,0.187087087087,0.325496342738,0.0259242115781,79
60,DES_SN440719,0.7351422991071429,0.157057057057,0.345670852611,0.0235158433555,80
61,DES_SN509387,0.7277483258928571,0.174474474474,0.334870317003,0.0250728839153,81
62,DES_SN313909,0.7292829241071429,0.178378378378,0.341575618171,0.0262985248838,82
63,DES_SN812230,0.72900390625,0.176276276276,0.33950260266,0.0257847431284,83
64,DES_SN799035,0.7368861607142857,0.170570570571,0.359949302915,0.0269272051373,84
65,DES_SN879540,0.7543178192411736,0.147208121827,0.418150975403,0.0284490803845,85
66,DES_SN466437,0.7525837552888951,0.147805315019,0.409768211921,0.0277766252599,86
67,DES_SN356233,0.7502254283137962,0.155867423111,0.402777777778,0.0286085776597,87
68,DES_SN621349,0.7446764236665048,0.176171991639,0.390211640212,0.0309718340486,88
69,DES_SN462511,0.7498432165005923,0.195100089633,0.421562298257,0.038132403032,89
70,DES_SN098097,0.7524876487370399,0.174328358209,0.424727272727,0.0344294085878,90
71,DES_SN223753,0.7470600514925892,0.193134328358,0.409753008233,0.0362933228138,91
72,DES_SN671446,0.751045594789167,0.215189873418,0.431014150943,0.0433821835268,92
73,DES_SN233347,0.759273225917038,0.195760965558,0.460526315789,0.0433647708514,93
74,DES_SN234110,0.7587932807679122,0.204592287312,0.459960291198,0.0452407380471,94
75,DES_SN233301,0.7642098045937608,0.179275831616,0.483333333333,0.0426147468596,95
76,DES_SN630122,0.7675694206376414,0.159258168973,0.503255813953,0.0402046987467,96
77,DES_SN448686,0.7670228798465544,0.168628605062,0.498694516971,0.0419922601914,97
78,DES_SN163560,0.7688730853391685,0.165539547192,0.509502262443,0.0425759548054,98
79,DES_SN298723,0.7718134573304157,0.185239635401,0.526755852843,0.0501292827761,99
80,DES_SN110438,0.774890590809628,0.177300793884,0.54968094804,0.0512769202456,100
81,DES_SN823047,0.7731810722100656,0.17230226404,0.538602941176,0.0482644009213,101
82,DES_SN535206,0.7719502188183808,0.175830638048,0.529203539823,0.047924667982,102
83,DES_SN457583,0.7759163019693655,0.150837988827,0.568736141907,0.0460594573025,103
84,DES_SN333502,0.7754127438941193,0.155197657394,0.565635005336,0.0469758757389,104
85,DES_SN378311,0.774870888828486,0.166083916084,0.558276199804,0.0492292418969,105
86,DES_SN797559,0.776279227380549,0.184141736857,0.563055062167,0.0553297920226,106
87,DES_SN847878,0.7773339652020852,0.197048611111,0.569874476987,0.0603644193282,107
88,DES_SN887239,0.7756159956913963,0.164075993092,0.570570570571,0.0503625826937,108
89,DES_SN518400,0.7736445580519306,0.159666283084,0.555555555556,0.0469606714953,109
90,DES_SN551675,0.7755953181757029,0.175489067894,0.564814814815,0.052994223473,110
91,DES_SN793682,0.7761334588995022,0.166858457998,0.573122529644,0.0515873697434,111
92,DES_SN177911,0.776732939279957,0.153890489914,0.579175704989,0.0483966558385,112
93,DES_SN460759,0.7738879182905524,0.126582278481,0.572171651495,0.0390302750747,113
94,DES_SN112414,0.7750267665952891,0.126146788991,0.583554376658,0.0401625087959,114
95,DES_SN870581,0.7744245182012848,0.131880733945,0.572851805729,0.0407422012187,115
96,DES_SN116784,0.7738222698072805,0.127006880734,0.56940874036,0.0388563868544,116
97,DES_SN111246,0.7748260171306209,0.129873853211,0.578544061303,0.0407712096359,117
98,DES_SN398662,0.77003600480064,0.161281098084,0.522222222222,0.0430693841475,118
99,DES_SN392315,0.7713297212611789,0.178070667414,0.526097763049,0.0480965009818,119
100,DES_SN087447,0.7688863665027116,0.184957173448,0.52707856598,0.050100120287,120
101,DES_SN238362,0.7688233068482785,0.180406852248,0.527386541471,0.048911592283,121
102,DES_SN526766,0.7676251734140497,0.182548179872,0.519421172887,0.0483486829796,122
103,DES_SN889854,0.7709140927847943,0.179371002132,0.534976152623,0.0497185685482,123
104,DES_SN391477,0.7679754908090534,0.221481876333,0.512646514497,0.0574981066018,124
105,DES_SN899054,0.7666624984369138,0.213219616205,0.506329113924,0.0543234690967,125
106,DES_SN066967,0.7664124046517444,0.209754797441,0.50513478819,0.053250653415,126
107,DES_SN155823,0.7640253762905834,0.200106157113,0.491525423729,0.048765366019,127
108,DES_SN822436,0.7690166975881262,0.214417744917,0.516539440204,0.0563089291308,128
109,DES_SN383526,0.7704817428659098,0.222280198278,0.52886405959,0.0605250012569,129
110,DES_SN448108,0.7679042651119975,0.218888599009,0.515673017824,0.057336101957,130
111,DES_SN374683,0.7685179502915005,0.255152621967,0.516094986807,0.066918547676,131
112,DES_SN681446,0.7665541577170911,0.251500130446,0.507635597683,0.0643263798753,132
113,DES_SN162403,0.7609082540656643,0.25567440647,0.484429065744,0.0609785637237,133
114,DES_SN454364,0.7607232968881413,0.259856630824,0.481727574751,0.0614669028867,134
115,DES_SN293713,0.7602820907905654,0.269569594765,0.483739837398,0.064157563554,135
116,DES_SN566281,0.7595455610213164,0.282803180915,0.482612383376,0.0670758690873,136
117,DES_SN228338,0.761551724137931,0.276155717762,0.491554785621,0.0673044319646,137
118,DES_SN524163,0.7663218390804598,0.256690997567,0.510648596321,0.0662448636089,138
119,DES_SN363200,0.7672988505747127,0.25401459854,0.515046867292,0.0664140347798,139
120,DES_SN170420,0.7703448275862069,0.252311435523,0.529081632653,0.0687459166152,140
121,DES_SN631504,0.7664367816091954,0.248905109489,0.5115,0.0643980594353,141
122,DES_SN241498,0.7640990761208412,0.243042226488,0.501485148515,0.0610316746237,142
123,DES_SN881364,0.7649447326866682,0.251966626937,0.506468615237,0.0642220218645,143
124,DES_SN409847,0.771189298561151,0.233238231098,0.536945812808,0.0650203764443,144
125,DES_SN037079,0.7745616007194245,0.230622919639,0.555873925501,0.0678920279361,145
126,DES_SN448108,0.7728754496402878,0.230860675226,0.546426561621,0.0661450916625,146
127,DES_SN379544,0.7738871402877698,0.232287208749,0.551665725579,0.0675631446705,147
128,DES_SN624605,0.773623802094941,0.239952996475,0.551891891892,0.0698380870584,148
129,DES_SN570863,0.7725118483412322,0.246339762956,0.54498714653,0.0702880615702,149
130,DES_SN020557,0.7758734707373526,0.2416918429,0.56399132321,0.0728156189503,150
131,DES_SN690961,0.7798704151109159,0.248320593004,0.583877995643,0.0791318893284,151
132,DES_SN596504,0.7815785173484394,0.256108805901,0.586589229145,0.0822360934556,152
133,DES_SN488530,0.782450024511139,0.248271092669,0.595027624309,0.0816202584875,153
134,DES_SN546847,0.7874067214989923,0.226602120793,0.642064010451,0.0847924951426,154
135,DES_SN232984,0.787679067487336,0.22775472568,0.643229166667,0.0854945550805,155
136,DES_SN075577,0.7900212429870908,0.230982019364,0.658777120316,0.0904431353663,156
137,DES_SN146515,0.7896339805297221,0.22664519098,0.66018766756,0.0890844026798,157
138,DES_SN254463,0.7879165537794636,0.21489117984,0.658245614035,0.0840216451395,158
139,DES_SN034223,0.788631942943592,0.214155251142,0.666193181818,0.0855526514356,159
140,DES_SN126895,0.7890641884590447,0.214840182648,0.669274537696,0.0865430701507,160
141,DES_SN054807,0.7905230170736979,0.223515981735,0.672852233677,0.0909107378973,161
