nqueries,snid,sntype,z,g_pkmag,r_pkmag,i_pkmag,z_pkmag,g_SNR,r_SNR,i_SNR,z_SNR,qclas,day_of_survey
1,333531,II,0.9910,24.578,23.838,23.748,23.888,0.9983333333333333,7.94861111111111,5.396285714285715,6.694117647058825,30,20
2,150847,II,0.6515,23.874,23.242,23.459,23.698,0.26772727272727276,2.213333333333333,2.1019047619047617,2.6661904761904767,27,21
3,53010,Ia,0.4820,24.041,22.794,22.85,22.907,1.5074999999999998,8.269375,7.99483870967742,9.251666666666667,0,22
4,432077,Ia,0.2922,21.828,21.596,21.511,21.988,9.753703703703703,20.295925925925925,21.891538461538463,17.644615384615385,0,23
5,851132,Ibc,0.6659,22.155,23.328,23.328,22.891,0.33416666666666667,2.7043478260869565,2.83,4.516086956521739,8,24
6,250938,II,0.2083,22.045,22.239,21.825,22.096,7.322857142857143,17.707692307692305,15.656153846153844,15.911538461538463,31,25
7,270306,II,0.7782,23.696,23.979,24.085,24.067,0.2819444444444444,2.423055555555555,2.1834285714285713,3.435294117647058,27,26
8,424195,II,0.8182,24.013,23.487,23.46,23.206,3.0758333333333336,11.787222222222223,8.896857142857144,12.093529411764706,30,27
9,598131,II,0.7177,24.573,23.877,24.087,23.758,0.6061111111111113,2.3525,3.069428571428572,5.151176470588235,42,28
10,675763,Ia,0.3947,23.472,22.489,22.265,22.463,2.0864,14.211999999999998,16.023333333333333,13.920833333333334,0,29
11,222338,II,0.1680,23.067,22.565,22.362,22.714,5.205909090909092,23.907272727272733,19.41590909090909,16.049545454545452,37,30
12,468453,II,0.8017,23.571,23.518,23.499,23.518,2.4128,5.090833333333333,3.155416666666667,3.34625,2,31
13,49586,II,0.9499,22.406,23.677,22.673,23.644,0.3861904761904761,4.131,3.593000000000001,4.481999999999999,30,32
14,154123,II,0.6188,23.954,23.736,23.864,23.658,1.233235294117647,3.6647058823529415,5.044242424242425,6.115,42,33
15,653114,Ibc,0.2548,23.333,23.04,22.79,22.663,2.3375757575757574,10.001515151515152,10.9765625,12.1258064516129,18,34
16,660083,II,1.0352,23.333,23.74,23.528,23.602,1.9656,3.7587500000000005,3.0533333333333332,2.7624999999999997,2,35
17,620035,II,0.5475,22.838,22.791,22.464,22.495,10.058518518518518,22.841481481481484,21.733461538461537,21.858076923076922,30,36
18,569648,II,0.2711,22.836,22.722,22.725,22.764,3.5665,9.085789473684208,7.67611111111111,8.326666666666666,31,37
19,299558,II,1.0040,23.681,23.864,23.673,23.861,0.5858823529411764,8.297941176470589,5.215294117647058,5.8951515151515155,30,38
20,92945,II,0.2958,23.069,23.064,23.091,23.053,2.8370833333333336,9.464583333333332,8.400434782608693,10.653478260869564,26,39
21,86632,Ibc,0.4381,24.038,23.974,23.528,23.592,0.32416666666666666,1.9973913043478266,1.5721739130434778,2.2143478260869562,23,40
22,123753,Ibc,0.2155,22.571,22.488,22.435,22.535,2.304090909090909,6.053809523809523,5.922,6.658999999999999,16,41
23,788819,Ibc,0.2412,23.226,22.937,22.63,22.598,2.0830434782608696,7.743636363636364,7.433181818181819,8.139545454545456,18,42
24,442469,II,0.1451,22.536,22.263,21.98,22.296,8.861481481481482,25.726296296296294,22.170370370370367,20.791851851851852,37,43
25,510284,Ia,0.3062,22.006,21.419,21.515,22.074,4.0600000000000005,13.422105263157896,13.031578947368422,10.20578947368421,0,44
26,278946,Ia,0.5045,23.888,22.72,22.971,22.828,0.9430434782608694,6.046818181818181,4.974545454545455,5.2277272727272734,0,45
27,873211,Ibc,0.2596,24.154,22.332,21.68,21.345,3.776666666666667,17.99285714285714,24.20714285714286,29.356666666666662,8,46
28,370853,II,0.8198,23.651,22.843,23.487,23.177,1.4514814814814814,5.7444,4.222083333333333,6.860833333333333,30,47
29,732700,Ibc,0.2798,23.385,22.958,23.072,23.301,0.7053846153846153,4.594166666666666,3.3147826086956513,2.44304347826087,10,48
30,315516,Ia,0.6277,23.836,23.195,23.056,23.026,0.5912000000000001,5.638333333333333,5.03375,5.245833333333334,0,49
31,530952,Ia,0.6580,22.962,23.288,23.023,22.936,0.37758620689655176,2.971851851851852,3.438076923076923,4.5200000000000005,0,50
32,804545,II,0.8833,23.346,23.581,23.634,22.853,1.585,2.7986666666666675,1.6027586206896551,2.402413793103449,2,51
33,250938,II,0.2083,22.045,22.239,21.825,22.096,7.322857142857143,17.707692307692305,15.656153846153844,15.911538461538463,31,52
34,146429,II,0.8379,24.113,23.496,23.613,23.338,2.308292682926829,11.332682926829268,7.870500000000002,9.546153846153848,30,53
35,653934,Ia,0.6161,24.735,23.52,23.362,23.35,0.734864864864865,5.238918918918919,5.0975,5.916285714285714,0,54
36,106022,II,0.3944,23.12,23.285,23.356,23.074,2.3287500000000003,9.969375,8.064193548387095,9.648666666666667,24,55
37,817154,II,0.2282,23.364,23.432,23.019,22.896,1.7629032258064516,11.322258064516125,11.126000000000001,12.561333333333332,39,56
38,223028,Ia,0.6397,24.223,23.023,22.444,22.953,0.425,3.8921428571428573,4.109259259259259,4.677037037037037,0,57
39,690708,Ia,0.3232,21.978,21.436,21.478,21.864,7.164074074074074,20.549629629629628,20.14074074074074,18.793333333333337,0,58
40,457390,Ia,0.6750,23.735,23.042,23.032,22.97,0.9486842105263159,7.795789473684209,7.217837837837837,8.332500000000003,0,59
41,440056,Ia,0.6670,24.498,23.49,23.131,23.486,0.3052,3.1595833333333334,2.5204166666666663,3.202916666666667,0,60
42,424019,II,0.8301,21.878,23.093,23.65,23.171,1.211304347826087,7.012727272727272,4.804285714285714,7.303809523809524,30,61
43,203519,II,0.1915,23.033,23.028,22.499,22.146,4.23625,11.382608695652172,9.949047619047619,8.306842105263158,15,62
44,870740,II,0.7176,23.279,23.548,23.137,22.784,1.7143478260869565,6.163636363636363,4.550000000000001,6.236111111111111,30,63
45,155230,II,0.4479,22.826,23.15,23.016,23.052,2.8244,6.680416666666666,6.1433333333333335,6.50125,42,64
46,411246,II,0.4240,22.83,23.208,22.788,22.854,3.6634482758620694,9.788965517241383,11.388275862068966,13.367241379310345,27,65
47,7355,Ia,0.4543,23.578,22.683,22.642,22.633,1.4779310344827583,9.112758620689657,8.941724137931036,10.757586206896553,0,66
48,678400,Ia,0.4356,22.086,21.865,22.001,22.076,7.532903225806451,22.910322580645165,18.767419354838708,19.02,0,67
49,23771,II,0.2229,22.681,22.788,22.605,22.775,5.031499999999999,12.415263157894737,9.505263157894737,8.06842105263158,15,68
50,800234,II,0.5256,22.806,22.861,22.476,22.487,6.2972413793103446,12.305000000000003,11.963076923076924,12.127916666666666,30,69
51,318574,Ia,0.6419,24.563,23.092,23.28,22.982,0.47387096774193566,3.6313333333333335,2.640357142857142,3.46,0,70
52,698174,II,0.4287,23.847,23.16,24.116,23.666,0.31178571428571417,0.9942307692307691,0.6315999999999999,1.1356,4,71
53,551090,II,0.1691,21.891,21.951,21.702,21.529,8.525714285714287,21.678,19.00631578947369,19.04842105263158,44,72
54,214298,II,0.8445,24.048,23.795,23.692,23.348,0.8872727272727273,4.7303125,2.912666666666667,4.154285714285715,30,73
55,529789,II,0.6234,22.947,22.81,23.025,23.23,3.5748275862068963,6.566071428571428,3.8751851851851855,3.7680000000000002,2,74
56,210840,II,0.1973,21.151,21.297,21.258,21.694,13.642499999999998,22.952105263157897,22.12842105263158,19.390526315789476,27,75
57,349982,Ia,0.2800,21.77,21.556,21.507,22.034,5.5903846153846155,14.898399999999999,12.429130434782609,9.600000000000001,0,76
58,884375,II,0.7600,23.791,23.297,23.152,22.915,2.2071875,6.272903225806452,4.2700000000000005,6.512962962962962,30,77
59,347483,Ia,0.2449,21.402,21.124,21.203,21.678,9.437000000000001,22.980526315789472,18.951052631578946,15.969473684210524,0,78
60,440719,II,0.9136,24.627,23.45,24.074,23.529,1.342105263157895,9.311315789473683,5.425405405405406,6.718333333333333,30,79
61,509387,Ia,0.4473,23.461,22.491,22.674,22.703,0.9903225806451614,6.735,4.385185185185185,4.3448,0,80
62,313909,Ibc,0.1043,21.821,21.159,21.132,21.109,5.1844,16.020833333333332,14.012272727272727,18.03190476190476,45,81
63,812230,II,0.3521,22.366,22.434,22.642,22.777,7.720833333333332,12.265652173913043,7.341739130434782,6.97608695652174,2,82
64,799035,II,0.3113,23.596,23.956,23.92,23.396,3.2448148148148137,5.808518518518518,3.300714285714286,3.381071428571428,15,83
65,879540,II,0.5502,23.799,23.68,23.923,23.682,2.6665625,8.331875,4.5821875,4.283125,20,84
66,466437,Ia,0.3976,23.233,22.488,22.402,22.579,2.5804545454545456,7.758095238095239,6.0057142857142845,6.338571428571429,0,85
67,356233,Ia,0.4331,22.465,21.78,21.939,22.16,3.525,12.329230769230772,10.014,10.1336,0,86
68,621349,Ia,0.6297,24.199,23.054,22.939,22.929,1.4505128205128206,9.570000000000002,6.931052631578948,7.903513513513514,0,87
69,462511,II,0.6292,24.494,23.755,24.575,24.498,0.8470000000000001,2.1279999999999997,1.7269999999999999,1.5262068965517241,24,88
70,98097,II,0.5425,23.364,22.921,23.269,23.284,3.8572,9.049583333333333,4.8725,4.640434782608696,17,89
71,223753,Ia,0.6937,25.855,23.633,23.218,23.405,-0.198,2.8331578947368423,2.442105263157895,3.0089473684210524,0,90
72,671446,Ia,0.5044,23.166,22.19,22.363,22.274,3.2658823529411767,13.702058823529413,10.207272727272727,11.74,0,91
73,233347,II,0.6985,24.843,23.798,24.133,23.797,0.9186111111111112,4.410833333333334,2.2399999999999998,2.8264705882352943,27,92
74,234110,II,0.2510,22.28,22.76,22.499,22.591,4.438518518518517,9.6784,7.274583333333332,8.324166666666667,38,93
75,233301,II,0.3060,22.873,23.111,23.135,22.971,9.019642857142857,12.84857142857143,8.540714285714285,7.547037037037035,44,94
76,630122,II,0.3481,22.249,22.637,22.433,22.597,7.722413793103449,11.53535714285714,8.493461538461538,8.747916666666667,17,95
77,448686,II,0.8897,24.302,23.572,23.66,23.463,0.7027272727272726,5.1537500000000005,3.1820000000000004,4.038571428571428,30,96
78,163560,II,0.3702,22.922,23.168,23.242,22.974,3.8018181818181827,11.868484848484849,9.649375,11.418064516129034,24,97
79,298723,Ia,0.6760,24.486,23.452,23.191,23.17,0.23689655172413795,4.291724137931034,4.089310344827586,3.88,0,98
80,110438,II,0.7670,22.451,22.796,22.948,23.144,1.9636363636363638,7.650000000000001,5.661428571428572,7.382380952380952,30,99
81,823047,II,0.7902,23.815,23.37,23.528,23.245,3.9012195121951225,11.972439024390242,7.704000000000001,9.72871794871795,30,100
82,535206,II,0.2311,21.429,21.696,21.505,21.858,10.104285714285712,28.934499999999996,24.3385,19.6875,42,101
83,457583,II,0.7428,24.379,23.494,24.084,23.813,1.5647368421052632,9.337105263157895,4.212432432432432,4.779166666666665,17,102
84,333502,II,0.2342,23.421,23.455,23.317,23.371,1.0066666666666668,2.8265384615384614,2.6879166666666663,2.5608695652173914,12,103
85,378311,II,0.6101,23.054,23.191,22.802,22.869,5.085416666666666,9.335217391304349,8.049565217391304,7.17125,30,104
86,797559,II,0.1737,21.548,21.946,21.638,21.791,18.68193548387097,29.785161290322574,26.836999999999996,26.33034482758621,38,105
87,847878,Ia,0.2531,20.983,20.799,20.834,21.364,16.105999999999998,32.8264,30.959600000000002,31.451249999999998,0,106
88,887239,II,1.0508,25.154,23.9,24.111,24.09,0.2425,4.015000000000001,2.716551724137931,2.7550000000000003,30,107
89,518400,II,0.2742,23.387,23.073,22.903,22.931,3.4473913043478257,16.43956521739131,12.281304347826085,12.743913043478262,38,108
90,551675,Ia,0.6159,24.377,23.027,22.795,22.776,1.0999999999999999,7.162413793103449,5.8456666666666655,5.9524137931034495,0,109
91,793682,II,0.6857,23.533,23.342,23.143,22.987,1.52375,5.449545454545454,4.194761904761904,4.51047619047619,30,110
92,177911,II,0.6745,23.215,23.26,23.038,22.887,4.234,9.163333333333334,7.78875,7.763333333333333,30,111
93,460759,II,0.5954,23.529,23.667,23.368,23.535,1.1741176470588235,2.3688235294117654,2.499411764705882,2.721764705882353,42,112
94,112414,II,0.3049,22.689,22.717,22.794,22.744,2.0,7.059444444444445,5.074117647058824,6.28,24,113
95,870581,II,0.0925,20.741,20.814,20.772,20.922,22.64125,33.720000000000006,31.12727272727273,32.056363636363635,19,114
96,116784,II,0.8766,23.636,22.864,23.565,23.113,0.895,4.261333333333334,2.9682758620689658,3.9224137931034484,30,115
97,111246,II,0.3179,22.622,22.778,22.907,22.628,8.483448275862068,16.228620689655173,11.67103448275862,11.760689655172413,24,116
98,398662,Ia,0.6639,24.929,23.567,23.519,23.306,0.33205882352941174,3.2894117647058825,2.9236363636363634,3.9153125,0,117
99,392315,II,0.4372,21.611,21.785,21.865,21.958,11.567727272727273,16.11409090909091,13.837272727272726,12.305238095238096,2,118
100,87447,II,0.1317,22.181,21.925,21.886,21.972,9.426666666666668,32.58541666666667,25.752173913043475,28.503913043478263,37,119
101,238362,II,0.2622,22.464,22.485,22.673,22.901,7.069629629629629,13.292222222222223,9.612142857142857,6.4553571428571415,26,120
102,526766,II,0.3242,22.896,23.189,23.404,23.114,1.854074074074074,3.3579999999999997,2.3241666666666667,2.98375,31,121
103,889854,II,0.5666,24.067,23.862,23.735,23.896,0.6646666666666667,2.0113333333333334,1.9526666666666666,1.5246666666666664,21,122
104,391477,Ia,0.7655,23.597,23.793,23.456,23.731,0.31499999999999995,2.098214285714286,2.0925000000000002,2.2544444444444447,0,123
105,899054,II,0.9553,23.982,23.838,24.203,23.6,0.9151851851851853,4.594444444444444,2.390740740740741,3.2500000000000004,30,124
106,66967,II,0.6980,23.423,23.32,23.184,23.056,3.715555555555556,8.345185185185185,7.095925925925927,6.146923076923077,30,125
107,155823,II,0.1949,21.044,21.144,21.105,21.54,19.06923076923077,26.311666666666667,19.83478260869565,19.85347826086957,2,126
108,822436,Ia,0.4791,23.465,22.511,22.643,22.539,0.8365384615384616,4.658333333333334,3.5473913043478262,4.2700000000000005,0,127
109,383526,II,0.9068,24.841,23.656,23.983,23.498,-0.032758620689655175,3.851785714285714,2.0650000000000004,3.6888,30,128
110,448108,II,0.2996,23.587,22.882,22.77,22.664,3.420714285714286,12.427857142857144,10.121428571428572,10.585384615384614,3,129
111,374683,Ia,0.6403,24.473,23.279,23.245,23.17,0.5307407407407407,3.4892592592592595,3.1788888888888893,3.5523076923076924,0,130
112,681446,II,0.2506,23.974,23.222,23.014,23.447,0.8344444444444445,3.402222222222222,3.618888888888889,1.6219999999999999,4,131
113,162403,Ia,0.5796,24.348,23.302,23.095,22.894,0.31999999999999995,2.6846666666666663,3.1806666666666663,4.00875,0,132
114,454364,II,0.2578,21.075,20.863,20.676,20.709,31.1647619047619,43.04899999999999,37.759499999999996,32.9045,30,133
115,293713,II,0.6392,23.208,23.104,22.934,22.925,4.875588235294117,14.363235294117645,13.086060606060606,11.6125,30,134
116,566281,II,0.3963,21.86,22.054,22.071,21.883,10.795714285714286,15.497142857142856,13.934285714285712,10.294285714285715,30,135
117,228338,Ia,0.5514,23.123,22.542,22.637,22.546,2.666,10.440000000000001,6.803333333333333,7.227777777777779,0,136
118,524163,II,0.3594,23.542,23.479,23.361,23.194,1.6080952380952382,4.3365,3.746315789473684,4.236666666666667,36,137
119,363200,II,0.4508,23.231,23.232,23.429,23.426,3.7425,7.20181818181818,4.2681818181818185,3.755454545454545,2,138
120,170420,II,0.2122,21.43,21.696,21.498,21.827,8.938571428571429,25.691428571428563,22.715714285714284,18.232142857142858,42,139
121,631504,II,0.7714,23.624,23.489,23.548,23.227,3.6026315789473684,11.51421052631579,8.312162162162164,9.651666666666667,30,140
122,241498,II,0.2980,23.723,22.943,23.121,23.138,1.0318181818181817,5.517272727272727,3.9009090909090913,3.7916666666666665,3,141
